account_id,customer_id,product_id,account_number,opening_date,current_balance,account_status,currency,last_transaction_date
32,145,13,886516054459,2019-11-01,509.38,Active,USD,2023-01-15
33,17,13,160756984598,2024-05-26,19681.85,Active,USD,2024-07-01
34,128,10,372485442411,2025-05-16,52198.42,Active,USD,2025-09-05
35,22,10,629368947342,2025-09-27,299688.0,Active,GBP,2025-11-13
36,300,1,969283377503,2024-08-12,48444.86,Active,USD,
37,79,1,633116369523,2025-11-23,49085.62,Active,EUR,2026-03-03
38,129,1,875178470076,2025-08-09,14806.26,Active,USD,
39,80,14,998918069255,2026-02-08,18418.92,Active,USD,2026-02-26
40,255,2,411870628829,2025-03-06,32081.11,Active,USD,2025-03-19
41,99,1,727201878841,2023-12-08,19491.08,Active,USD,2024-05-18
42,107,14,189473092419,2025-03-03,31981.94,Active,USD,2025-03-29
43,266,1,895003708324,2022-09-27,19328.02,Active,USD,2024-10-29
44,296,13,605408097129,2026-03-19,21411.04,Active,USD,2026-03-20
45,282,10,511650513492,2025-12-22,950594.75,Active,EUR,2026-01-22
46,230,14,894569789978,2020-02-09,14295.66,Active,USD,2021-11-06
47,142,2,139059665795,2024-12-05,7889.74,Active,USD,2025-05-01
48,167,10,633318555239,2021-09-04,1035013.46,Dormant,USD,2025-06-14
49,172,10,557131856569,2018-12-13,182569.71,Closed,USD,
50,277,2,651159545038,2017-03-02,7744.55,Active,USD,2021-10-19
51,76,2,191638144557,2025-08-25,37291.22,Active,USD,2025-10-03
52,250,14,729866610913,2025-12-06,30838.24,Active,USD,2026-01-25
53,217,13,307654401085,2022-03-17,29734.47,Active,USD,2023-10-20
54,80,1,912231451885,2021-11-13,47452.15,Active,GBP,2025-05-28
55,276,2,697875774280,2022-11-29,13007.03,Active,USD,2024-02-26
56,146,10,867893717470,2025-11-25,81521.7,Active,USD,
57,198,2,520820005964,2023-11-01,35513.47,Active,GBP,
58,272,13,638303582675,2025-05-06,7934.56,Active,USD,2025-07-17
59,16,13,264177627574,2026-01-20,19703.05,Active,USD,2026-03-02
60,79,14,443470841812,2025-02-13,16531.31,Closed,USD,
61,269,2,262221129518,2020-07-26,28285.73,Active,USD,2022-03-11
62,212,14,586634174647,2024-10-21,41102.76,Active,USD,2025-07-13
63,119,2,852611037903,2026-01-09,4065.82,Active,USD,2026-03-09
64,71,2,345643180537,2021-08-21,38250.49,Active,USD,2022-06-02
65,235,2,544217969163,2024-10-26,30435.7,Dormant,EUR,2025-07-03
66,22,10,690638330486,2026-01-01,1103284.78,Active,USD,2026-01-10
67,217,13,856148520231,2022-03-16,7197.76,Active,EUR,2022-12-03
68,104,14,375265225649,2024-03-20,32463.96,Active,USD,2025-04-17
69,195,1,287983246717,2023-03-15,28318.03,Closed,USD,
70,159,14,788435070318,2024-08-21,44937.24,Active,SGD,2024-12-07
71,244,14,587092891159,2025-12-28,30045.1,Active,USD,2026-02-04
72,179,1,830283735074,2021-12-24,30203.94,Active,USD,2025-11-10
73,185,10,942213564352,2024-10-02,554117.0,Active,USD,2025-02-21
74,141,13,553235240345,2025-03-26,34821.89,Active,USD,2025-05-22
75,163,13,733616730635,2020-08-17,17757.28,Frozen,USD,2021-08-24
76,100,1,126277499576,2025-11-03,39856.95,Active,USD,2025-12-20
77,145,13,176408307900,2024-08-05,25383.81,Active,USD,2025-07-13
78,174,14,623625933177,2025-02-13,32318.05,Dormant,USD,2025-03-16
79,154,13,690794987489,2022-10-28,28912.14,Active,USD,2025-08-11
80,200,2,227110381193,2025-08-29,37601.86,Dormant,USD,2026-03-14
81,155,2,432967770923,2021-09-02,18773.36,Active,USD,2022-02-24
82,248,13,459813175350,2021-07-09,43602.77,Active,EUR,2024-02-25
83,23,1,612532576828,2024-11-16,5244.83,Closed,USD,
84,103,2,401878508232,2025-01-20,38662.08,Active,USD,2025-10-26
85,146,10,178045031757,2022-11-30,1338580.17,Active,USD,2025-04-19
86,229,13,466414142548,2025-02-18,35673.64,Dormant,USD,2025-06-24
87,159,14,355424049607,2025-05-14,7271.71,Closed,GBP,
88,250,1,619971784205,2026-02-24,23984.74,Active,EUR,2026-02-25
89,37,13,609094265711,2026-02-25,20730.75,Active,USD,2026-03-10
90,176,2,826592869398,2025-08-17,36994.42,Active,USD,2025-10-31
91,208,1,218533620635,2023-10-07,29860.63,Active,EUR,2025-06-16
92,77,14,420109306294,2018-09-30,28938.78,Active,USD,2022-07-01
93,177,1,111092727916,2024-10-07,25570.15,Active,EUR,2024-12-17
94,223,2,291823923425,2020-09-06,9492.52,Active,USD,2025-09-11
95,250,14,190777465608,2026-01-26,40316.49,Active,EUR,2026-02-06
96,231,10,346339168803,2023-06-05,907650.74,Active,USD,2024-01-12
97,291,14,506754373302,2020-09-01,24128.49,Active,USD,2022-01-11
98,40,13,158467557816,2018-05-21,26798.16,Closed,USD,
99,149,2,860360936429,2022-07-27,37496.32,Closed,USD,
100,14,13,192276342383,2026-01-04,3935.43,Active,EUR,2026-01-10
101,78,14,986351399407,2023-01-03,39148.13,Active,USD,2023-04-13
102,86,2,905640333459,2025-01-20,2810.86,Dormant,USD,2025-09-25
103,200,14,260041756412,2024-10-22,21793.24,Active,USD,2024-12-20
104,182,14,466242987841,2025-11-05,40135.59,Active,USD,2026-01-27
105,93,10,110941912639,2025-08-16,1247870.87,Active,USD,2025-11-26
106,13,1,824106311497,2021-03-27,10919.55,Closed,USD,
107,95,13,612366270797,2024-08-13,3878.14,Active,USD,2025-04-09
108,196,14,383725791475,2025-10-04,13306.78,Closed,USD,
109,277,14,775247828337,2019-02-18,45639.2,Active,USD,2024-12-02
110,77,1,142661453716,2025-05-01,13395.18,Active,USD,2025-11-18
111,36,2,520921000006,2023-06-03,40917.04,Closed,USD,
112,188,13,935197791408,2025-06-17,32424.85,Dormant,USD,2025-12-09
113,225,2,139255756066,2025-09-02,36014.98,Active,USD,
114,29,13,893657465489,2024-05-11,5997.54,Active,EUR,2024-05-11
115,19,2,819359325217,2024-07-03,45368.23,Active,USD,2025-05-03
116,113,1,322498433722,2025-11-13,40594.9,Active,SGD,
117,141,2,558520186234,2023-03-21,18559.37,Active,USD,2023-07-26
118,42,10,293304555158,2020-04-14,1060698.39,Closed,USD,
119,74,13,596167880015,2023-12-25,46910.67,Active,USD,2025-10-06
120,286,10,229673235422,2024-11-23,1465233.64,Frozen,USD,
121,58,2,647498434216,2026-02-05,33540.12,Active,USD,2026-03-17
122,27,2,963967227229,2022-04-19,25793.7,Active,USD,2025-08-29
123,167,10,358119220029,2024-05-31,1305089.68,Active,USD,2025-12-26
124,233,2,509685464126,2026-03-11,36019.08,Active,USD,2026-03-13
125,176,2,425929644754,2025-02-10,39498.39,Active,USD,2025-08-12
126,220,2,457546713518,2021-08-14,11198.09,Active,GBP,2022-07-10
127,259,1,681648942431,2024-04-27,40504.85,Active,USD,2025-05-20
128,123,1,624054429639,2023-11-04,8173.96,Active,USD,2025-10-26
129,190,14,798807938281,2025-06-27,31402.52,Active,USD,2025-08-20
130,172,10,842642812822,2023-12-18,79240.74,Active,USD,2025-12-29
131,172,10,226871761241,2021-03-28,1106595.34,Active,USD,2024-06-25
132,217,13,168953380650,2023-08-01,22675.29,Active,USD,2024-02-23
133,34,2,196455834900,2025-05-16,44907.5,Active,USD,2025-08-01
134,12,13,695636387027,2022-11-11,23747.86,Closed,USD,
135,249,14,432679607266,2020-12-02,44924.27,Active,USD,2023-08-20
136,234,2,882374635153,2018-02-03,9195.8,Active,USD,2022-07-09
137,295,2,385361443836,2024-03-11,10337.25,Active,USD,2026-02-26
138,13,14,649459757142,2025-04-25,47394.67,Dormant,GBP,2026-02-03
139,294,10,721909444157,2019-10-04,1383593.57,Active,USD,2023-12-21
140,100,2,408237326486,2025-08-19,4271.12,Active,EUR,2025-10-17
141,219,13,509680234192,2021-10-10,17311.52,Active,USD,2024-05-27
142,218,10,759651915458,2023-07-01,313260.12,Active,USD,
143,140,10,710636515806,2026-03-11,852738.65,Active,GBP,2026-03-11
144,238,2,967698670760,2025-05-31,13207.58,Active,GBP,2026-03-07
145,126,10,938031247085,2025-06-29,1491510.77,Active,USD,2026-03-08
146,295,1,387098291802,2022-01-02,3019.67,Active,USD,
147,150,1,312660437303,2025-12-03,9244.05,Dormant,USD,2026-01-15
148,181,2,250379250429,2026-03-10,18713.41,Active,USD,2026-03-19
149,287,1,604303662163,2019-11-16,5916.63,Closed,USD,
150,89,13,916167307499,2026-01-27,11195.66,Dormant,EUR,2026-02-05
151,58,1,950484297513,2024-12-02,21619.25,Active,USD,
152,6,1,236504243254,2017-11-19,10349.52,Closed,GBP,
153,51,1,338494546394,2024-02-09,48216.76,Active,USD,2025-04-05
154,95,14,298029450859,2021-11-23,49066.93,Dormant,USD,2025-11-30
155,254,13,416559408836,2019-09-26,2126.37,Active,USD,2024-11-14
156,149,14,984080613444,2024-09-19,33988.64,Active,USD,2024-10-27
157,206,1,169444137436,2025-03-01,10034.41,Active,USD,2025-03-13
158,205,10,832188098639,2026-02-18,607856.51,Active,USD,2026-02-19
159,69,1,907881644941,2026-02-26,3504.61,Active,USD,2026-03-10
160,267,14,614505863718,2018-12-29,33138.45,Active,USD,2022-04-29
161,61,14,445530615119,2023-11-13,22183.55,Dormant,USD,2024-04-08
162,57,14,708425404676,2025-12-24,28653.29,Active,USD,2026-02-11
163,146,10,130328585053,2023-02-06,194040.7,Active,USD,2024-04-25
164,183,14,161638232134,2025-07-02,12455.94,Active,USD,
165,167,10,823534096471,2020-09-07,852938.01,Dormant,GBP,2022-12-09
166,106,13,651889258983,2025-11-12,33402.64,Dormant,USD,2026-01-21
167,25,13,731343990585,2024-12-31,11371.71,Active,USD,2025-07-21
168,178,10,655347204229,2026-02-06,650499.91,Dormant,USD,2026-02-12
169,265,10,647938369690,2026-03-03,1443251.38,Active,USD,2026-03-19
170,187,14,362627559376,2024-07-28,34296.8,Active,USD,2025-03-23
171,121,14,225578330109,2026-01-28,1482.44,Active,EUR,2026-02-11
172,70,1,968693199780,2025-08-30,32967.67,Dormant,USD,2026-01-11
173,209,10,824439315305,2024-02-11,596548.79,Closed,EUR,
174,255,1,758152528606,2025-11-29,40353.69,Active,USD,2026-01-10
175,90,2,404813500329,2022-12-22,12789.87,Active,USD,2025-01-01
176,143,2,621250107415,2019-04-17,41086.13,Active,USD,2022-02-14
177,197,13,498146117496,2023-03-31,34293.89,Closed,USD,
178,163,14,137749830809,2024-03-14,4096.72,Active,USD,2024-09-29
179,134,1,561072712167,2025-02-12,40690.06,Active,USD,2025-07-03
180,157,13,192667395542,2020-11-22,12555.22,Active,USD,2024-06-12
181,69,13,852364363524,2025-08-21,16446.26,Active,USD,2026-02-15
182,286,10,198384149191,2025-09-13,299002.77,Frozen,USD,2026-03-19
183,291,1,886039638224,2024-05-21,38690.63,Active,GBP,2026-01-02
184,196,2,758017362111,2026-02-06,41222.04,Active,USD,
185,69,13,864394223991,2025-02-17,10689.66,Active,USD,2025-07-17
186,242,13,770000894144,2025-05-19,48363.77,Closed,USD,
187,190,2,145352966549,2024-02-16,13088.55,Active,USD,2024-08-10
188,161,1,241641650274,2022-01-31,48671.24,Active,USD,2024-06-01
189,85,13,939628631826,2025-12-03,27828.17,Closed,GBP,
190,224,10,645148200208,2025-04-27,536067.13,Active,USD,2025-05-13
191,300,2,108468075020,2025-04-03,28582.31,Active,USD,2026-01-18
192,63,14,750144482408,2023-10-30,5392.89,Closed,USD,
193,169,1,785718040585,2024-08-10,16313.28,Closed,USD,
194,281,10,538484167747,2024-02-25,361640.04,Active,USD,2024-09-15
195,79,1,638153160157,2026-02-27,36820.88,Dormant,GBP,2026-03-10
196,199,10,719628400864,2025-01-08,137153.08,Active,USD,2025-05-27
197,80,14,793754379483,2025-05-29,4290.11,Active,USD,2025-07-17
198,25,1,151184422417,2024-03-19,25581.51,Active,USD,2025-08-03
199,237,10,300945100520,2021-05-09,69797.56,Dormant,USD,2022-12-14
200,96,10,186694290228,2019-09-11,906871.2,Active,EUR,2019-10-30
201,185,10,434168387445,2025-11-18,204400.69,Active,USD,2026-02-17
202,276,2,431082250771,2024-05-29,7493.47,Dormant,USD,
203,231,10,422987289133,2025-01-22,1251090.12,Active,USD,2025-09-19
204,249,14,882680075621,2021-05-21,1049.08,Active,USD,2021-05-25
205,178,10,579737171571,2019-12-07,433440.15,Active,USD,2023-07-02
206,200,14,820150512224,2021-02-04,39819.04,Active,EUR,2024-08-09
207,81,14,972311739290,2024-07-17,49688.99,Active,USD,2025-09-02
208,258,1,172184723106,2026-03-05,5787.07,Active,USD,2026-03-16
209,264,1,154573593574,2025-07-20,21947.55,Closed,USD,
210,260,1,792207193043,2025-01-20,10348.77,Active,USD,2025-02-23
211,172,10,581903449534,2020-10-26,1154290.51,Closed,USD,
212,213,13,832847866259,2020-06-18,37684.99,Active,USD,2020-08-05
213,227,2,111897711670,2025-11-13,25915.7,Active,USD,2025-12-18
214,267,13,539887566729,2025-03-16,35069.44,Closed,EUR,
215,229,2,700812580178,2022-07-20,30947.55,Active,USD,
216,172,10,893388257591,2017-09-10,190756.46,Active,SGD,
217,277,13,434037464161,2019-10-31,49349.04,Active,USD,2020-09-25
218,294,10,471313439681,2020-07-11,1208470.57,Frozen,SGD,2020-08-17
219,294,10,515384974502,2023-12-22,372954.73,Active,USD,2024-02-16
220,32,10,245550039143,2019-07-09,670353.8,Active,USD,2022-04-10
221,226,14,255318227042,2023-05-17,24289.74,Active,USD,2025-01-26
222,287,13,761935059927,2021-07-18,5605.77,Dormant,USD,2023-06-08
223,15,10,959603945020,2019-10-08,74879.27,Active,GBP,
224,23,14,729131862241,2024-07-20,22673.48,Active,USD,2024-10-12
225,230,2,902584842875,2023-11-07,40010.6,Active,USD,2024-03-17
226,85,1,793946433582,2025-10-15,35399.2,Dormant,USD,2026-03-08
227,258,1,822071118016,2026-03-19,9069.2,Closed,USD,
228,24,10,473762069659,2022-12-30,623574.76,Active,EUR,2025-11-08
229,209,10,774562898028,2025-06-10,273823.84,Closed,USD,
230,261,10,228631509102,2020-06-14,478868.0,Active,USD,2026-01-18
231,52,10,713162322852,2025-12-01,190105.87,Active,USD,2026-01-07
232,87,10,713800187514,2020-12-21,3499.59,Active,USD,2024-03-22
233,109,13,276289014571,2025-08-10,28197.77,Active,USD,2026-01-13
234,259,13,851120766864,2023-10-03,31794.98,Closed,SGD,
235,169,1,864134889842,2022-08-28,46120.66,Active,USD,2023-10-27
236,40,1,837944344020,2025-02-06,6258.44,Active,SGD,2025-07-18
237,99,14,340558383651,2025-04-12,37945.21,Active,USD,2025-06-26
238,186,1,642371718663,2022-02-16,35377.7,Closed,USD,
239,283,10,914582803366,2017-11-24,1024210.63,Active,USD,2018-08-14
240,12,13,717103823189,2025-11-26,197.55,Closed,USD,
241,63,14,497265468439,2024-07-07,2268.89,Active,USD,2026-03-14
242,293,1,911707005888,2019-08-16,34508.49,Active,GBP,2019-10-25
243,13,13,378487859540,2024-07-13,23731.47,Active,GBP,2024-07-20
244,229,1,512460070415,2021-10-02,42399.84,Active,USD,2026-01-07
245,29,1,539725003028,2026-02-08,37622.97,Active,USD,2026-02-18
246,14,14,462998665312,2025-04-28,5489.53,Active,USD,2025-11-28
247,228,2,251368187296,2020-07-31,3118.51,Dormant,USD,2021-10-24
248,176,13,666970394314,2026-01-25,33947.19,Active,USD,2026-01-30
249,104,1,307625384548,2023-11-09,34769.6,Active,SGD,2025-07-21
250,22,10,800095548054,2026-03-09,346950.47,Active,USD,2026-03-12
251,4,13,177351897561,2022-09-20,27779.11,Active,USD,2026-01-30
252,90,2,391565496551,2023-08-13,17056.89,Active,USD,2024-01-15
253,157,14,504758361934,2024-04-22,33079.34,Dormant,GBP,2025-11-19
254,220,2,151200363526,2022-10-16,29407.56,Dormant,EUR,2022-10-20
255,300,14,899762585568,2025-10-29,23586.3,Active,USD,2026-03-11
256,92,13,511082000948,2025-10-29,24216.52,Active,GBP,2026-02-28
257,104,14,361405317240,2025-12-11,15369.35,Active,GBP,2026-03-08
258,266,13,740938732280,2022-12-01,25661.88,Active,USD,
259,227,2,809810453994,2025-08-13,45083.64,Active,USD,2025-11-23
260,185,10,321388496183,2024-09-09,1013310.77,Active,USD,
261,154,13,481488911693,2025-12-26,20250.18,Dormant,USD,2026-03-04
262,108,14,667939516515,2026-03-03,27675.5,Active,USD,2026-03-20
263,286,10,251933180332,2023-01-22,194261.77,Active,GBP,2023-09-20
264,207,13,745645595257,2025-01-10,39289.35,Active,GBP,2025-12-03
265,201,10,523202414580,2022-07-19,164740.26,Active,USD,2023-10-12
266,36,14,324557286791,2024-08-01,33012.54,Active,USD,2025-10-23
267,245,1,242620744299,2025-11-01,15556.88,Dormant,EUR,2025-11-03
268,4,2,170633879303,2025-02-23,30281.95,Dormant,USD,2025-11-01
269,234,13,970639898370,2023-06-24,30690.07,Active,EUR,2025-02-26
270,23,2,401326024458,2024-08-29,26933.1,Closed,USD,
271,40,1,943979949373,2025-01-10,20563.79,Dormant,USD,2025-07-15
272,204,1,374924023580,2025-04-06,45865.14,Active,USD,2025-07-15
273,143,2,765797524319,2019-09-05,14777.82,Active,USD,2020-02-06
274,111,1,842568439415,2025-02-17,22158.7,Active,USD,2025-02-26
275,228,1,106864239738,2024-01-10,18932.04,Active,USD,2024-10-14
276,50,2,283498232147,2025-03-17,25673.76,Active,EUR,2025-04-19
277,110,10,453718801951,2022-02-27,604404.96,Active,USD,2025-03-14
278,256,10,691470817373,2024-03-15,1383491.42,Dormant,USD,
279,10,14,659988021131,2022-09-22,11698.03,Active,USD,2026-01-17
280,41,1,508612689419,2026-01-21,10180.39,Active,USD,2026-01-29
281,21,14,996136535748,2025-07-18,1282.3,Active,EUR,2025-07-31
282,196,13,586119626252,2026-03-20,3324.38,Active,USD,2026-03-20
283,219,14,281726349700,2022-08-19,12321.76,Active,USD,2024-10-18
284,185,10,282010910713,2025-11-26,635200.49,Active,USD,2025-11-29
285,154,2,901238398910,2025-12-31,19084.47,Active,USD,2026-03-06
286,98,1,901014406340,2023-01-27,24623.54,Active,GBP,2023-05-20
287,64,14,722478756601,2024-01-26,38171.25,Active,GBP,2024-03-01
288,218,10,625026907757,2025-05-18,1220063.36,Active,USD,2026-02-13
289,297,2,224607040256,2020-03-29,32255.43,Dormant,GBP,2024-07-07
290,257,10,437524642539,2023-11-07,1129188.45,Active,GBP,2024-06-17
291,204,13,994076464445,2026-03-02,4933.85,Active,USD,2026-03-10
292,69,2,299657873789,2026-02-09,5600.89,Active,USD,2026-03-06
293,210,14,218645986732,2025-11-19,8389.69,Dormant,USD,2025-12-30
294,52,10,392320011679,2023-12-10,12825.53,Active,USD,2024-04-26
295,173,14,505172397928,2025-03-05,17219.56,Active,USD,2025-12-13
296,2,14,868243126009,2022-06-20,41787.52,Active,GBP,2022-09-05
297,244,14,308994089661,2024-12-01,31939.86,Active,GBP,2025-06-21
298,42,10,623688989520,2024-04-19,1285935.8,Frozen,GBP,2025-03-14
299,45,13,842309308591,2018-04-18,49362.26,Frozen,USD,2023-01-06
300,46,1,133138959019,2020-12-20,46455.47,Active,GBP,2023-06-30
301,252,1,863626031656,2024-10-14,11267.93,Active,USD,2025-12-26
302,115,13,418324464518,2022-11-26,4548.06,Active,USD,2023-04-03
303,1,10,748805855474,2021-01-16,1270983.66,Active,SGD,2021-02-13
304,276,14,260270682753,2025-04-04,14911.5,Dormant,USD,2025-09-14
305,64,13,730099715236,2022-03-19,41451.5,Active,USD,2023-03-29
306,27,2,636255781621,2024-04-03,15025.18,Active,EUR,2024-09-02
307,201,10,901130991631,2026-02-02,1045171.72,Active,USD,2026-02-07
308,296,2,866402054884,2026-03-19,44871.18,Active,USD,2026-03-20
309,219,2,164106618903,2021-06-07,48710.52,Active,USD,2023-05-04
310,61,2,638574488439,2022-06-05,29848.16,Active,USD,2025-01-05
311,228,13,228898850884,2017-09-01,6190.37,Active,USD,2022-08-11
312,223,13,239893197000,2023-06-03,3268.57,Active,GBP,2026-01-18
313,300,1,927870013978,2024-04-14,32963.26,Active,USD,
314,295,2,278896728747,2018-01-25,12912.35,Active,USD,2018-08-29
315,24,10,686946612511,2022-04-06,866453.06,Active,USD,2022-06-12
316,97,2,339799310491,2021-06-18,30147.0,Closed,USD,
317,196,2,599934448258,2025-10-25,12783.55,Active,USD,2025-11-25
318,162,10,127397346871,2024-10-26,372751.53,Closed,USD,
319,171,10,348240937962,2022-02-03,148724.39,Active,SGD,2023-04-20
320,179,13,398721599284,2019-12-06,44838.86,Active,USD,2020-08-08
321,133,1,665589890921,2023-03-02,32912.39,Active,USD,2023-03-19
322,215,14,581822765102,2025-08-09,39943.6,Frozen,USD,2026-03-01
323,161,1,188625261530,2025-02-22,12077.83,Active,USD,
324,98,1,566923762122,2022-07-01,37508.43,Active,USD,2025-06-14
325,269,2,182355199879,2023-02-23,6752.61,Active,USD,2024-02-28
326,151,13,100915111272,2023-01-11,28485.21,Active,USD,
327,4,14,427828633756,2025-09-29,357.21,Active,GBP,2025-12-10
328,250,1,942482017486,2026-01-23,11382.15,Active,USD,2026-03-10
329,223,1,881127910027,2018-02-12,9559.4,Active,USD,2021-12-11
330,137,1,638679502634,2024-10-03,40011.02,Active,USD,2026-01-07
331,56,10,268045421193,2025-07-07,22446.14,Active,USD,2026-02-25
332,145,14,933578483695,2020-09-09,30918.9,Active,USD,2022-09-30
333,53,2,752211708634,2024-02-02,7521.43,Active,USD,2024-08-21
334,195,14,437262183150,2018-06-01,49008.2,Active,USD,2023-08-27
335,180,10,448953073197,2025-05-18,274263.93,Closed,USD,
336,95,13,640943950554,2022-12-24,15287.4,Active,USD,2025-06-08
337,142,2,523416461289,2023-04-12,5407.64,Active,USD,
338,280,13,895863781117,2017-07-06,38073.3,Active,USD,2018-05-25
339,61,14,628571783199,2022-10-26,46573.48,Active,USD,2023-03-27
340,98,14,853745396836,2024-01-17,25723.04,Active,USD,2025-03-14
341,82,2,867047283593,2025-03-04,46438.5,Active,USD,2025-03-27
342,274,10,144203130383,2026-03-01,1413184.91,Active,USD,2026-03-11
343,282,10,249130196313,2025-10-31,918000.09,Active,USD,2025-11-10
344,9,1,919147339027,2025-05-28,47288.25,Active,USD,2025-12-13
345,203,2,355318866011,2024-11-15,21751.79,Active,USD,2025-03-22
346,93,10,439392813872,2022-03-29,268245.94,Active,USD,2022-10-29
347,71,1,209965308330,2025-01-03,1133.72,Active,EUR,2026-03-19
348,7,1,971696330463,2020-07-24,36832.96,Active,USD,2023-01-30
349,246,2,161176693233,2020-06-11,13446.09,Active,USD,
350,115,1,569124997593,2025-10-15,17730.16,Active,USD,2025-11-16
351,57,2,413342985795,2025-07-20,30823.27,Active,USD,2026-01-04
352,93,10,854485194166,2025-07-04,1226708.69,Active,USD,2025-10-24
353,77,2,260289279011,2018-05-05,36095.04,Active,EUR,2025-05-25
354,66,10,524203334511,2023-03-13,742321.3,Active,USD,2026-01-09
355,255,14,690697479837,2024-03-17,19292.9,Dormant,USD,2024-04-28
356,105,1,711441845487,2025-09-14,6766.27,Active,USD,2025-09-15
357,115,1,253532176001,2025-10-16,34819.46,Active,USD,2026-01-18
358,81,1,500062831980,2020-06-06,12327.79,Active,USD,2020-11-30
359,173,14,812025678004,2025-03-09,14409.78,Active,USD,2026-03-02
360,233,13,731012945397,2026-02-27,35496.71,Active,USD,2026-03-15
361,287,1,863716304869,2022-10-31,15728.16,Active,USD,2024-11-05
362,40,13,957289173937,2020-10-01,1499.64,Dormant,USD,2021-08-14
363,17,2,191350381025,2025-10-06,28283.36,Frozen,USD,2025-11-15
364,162,10,493958830699,2025-09-30,1054579.9,Frozen,USD,2025-12-21
365,20,10,263901204794,2023-04-30,119971.78,Active,USD,2025-06-07
366,257,10,965210339330,2019-03-15,437680.7,Active,USD,2023-09-19
367,39,10,789629588023,2020-02-21,147914.25,Frozen,USD,2022-12-18
368,152,10,405235430898,2024-02-06,531345.98,Active,USD,2024-05-09
369,250,1,539317709488,2025-12-03,31022.21,Active,USD,2026-01-03
370,135,1,162894928945,2026-02-19,12316.36,Active,EUR,2026-02-27
371,237,10,612599785360,2020-05-24,803603.4,Active,EUR,
372,176,14,869712407144,2026-01-08,5804.89,Active,USD,
373,186,14,623893929565,2022-09-15,10653.5,Active,USD,2025-11-10
374,42,10,885436886735,2026-01-29,630743.35,Active,USD,2026-03-10
375,215,14,690452774014,2026-02-21,8118.39,Active,USD,2026-02-26
376,297,2,831534861134,2017-09-02,46954.56,Frozen,USD,2021-04-12
377,59,14,672359379330,2023-01-26,49413.11,Active,GBP,2025-11-11
378,97,14,699991667309,2026-03-12,30087.07,Dormant,USD,2026-03-15
379,158,1,648464390876,2025-04-11,22854.27,Active,USD,2025-08-06
380,192,2,755209087509,2025-11-08,21850.22,Active,USD,2025-12-05
381,54,1,119969985565,2023-05-21,20622.86,Active,USD,2024-03-05
382,109,2,601552881623,2026-02-13,5813.61,Active,EUR,2026-02-28
383,115,13,390591825821,2021-12-13,45143.39,Active,GBP,2022-12-24
384,293,14,710924012749,2025-11-29,9713.75,Frozen,USD,2025-12-02
385,163,2,355281695991,2021-08-07,40078.48,Active,USD,2022-04-27
386,105,1,126170375669,2026-02-04,31481.82,Active,USD,2026-02-28
387,184,2,818289136095,2026-02-10,14916.43,Closed,USD,
388,43,2,124169662208,2018-09-29,29009.79,Active,USD,
389,186,2,209052656517,2022-08-03,1195.65,Active,USD,2024-08-31
390,6,2,725603503514,2022-12-31,42754.97,Active,USD,2023-12-16
