customer_id,first_name,last_name,date_of_birth,email,phone_number,address,customer_segment,onboarding_date,customer_status,customer_preferences
11,Kevin,Perkins,,kevin.perkins.11@yahoo.com,001-485-557-4443x1351,"9894 Marissa Hill Apt. 524, Lake Amandaview, AZ 07647",Mass Market,2020-12-12,Churned,"{""preferred_channel"": ""Phone"", ""language"": ""en"", ""marketing_opt_in"": true, ""risk_appetite"": ""high""}"
12,Jared,Clark,1950-11-24,jared.clark.12@gmail.com,+1-212-506-7974,"713 French Road Apt. 618, Lake Edward, KY 19144",Student,2022-10-27,Active,"{""preferred_channel"": ""Email"", ""language"": ""en"", ""marketing_opt_in"": false, ""risk_appetite"": ""high""}"
13,Tanya,Harrison,1962-01-19,tanya.harrison.13@gmail.com,(356)774-6807,"8087 Brown Path, Cindyfort, SC 58440",Mass Market,2020-04-19,Active,"{""preferred_channel"": ""Branch"", ""language"": ""zh"", ""marketing_opt_in"": true, ""risk_appetite"": ""low""}"
14,William,Hoover,1960-07-09,william.hoover.14@hotmail.com,001-872-978-7558,"USNS Pollard, FPO AE 75447",Mass Market,2019-01-17,Active,
15,Jimmy,Cohen,1955-09-09,jimmy.cohen.15@gmail.com,(411)572-4005x04556,"21969 Tyler Prairie, East Steven, KS 60737",Affluent,2019-02-02,Dormant,"{""preferred_channel"": ""Mobile App"", ""language"": ""en"", ""marketing_opt_in"": true, ""risk_appetite"": ""high""}"
16,Mary,Fuller,1984-03-03,mary.fuller.16@yahoo.com,709.652.1456x232,"4517 Donald Fork Suite 851, Smithside, DE 60110",SME,2025-04-02,Active,
17,Derek,Chavez,1990-10-02,derek.chavez.17@hotmail.com,(592)761-7964x05377,"506 Lopez Crossing Suite 139, North Kristinbury, DC 74501",Mass Market,2022-12-03,Prospect,"{""preferred_channel"": ""Email"", ""language"": ""es"", ""marketing_opt_in"": true, ""risk_appetite"": ""high""}"
18,Sonia,Williams,1999-03-05,sonia.williams.18@hotmail.com,470-307-6617x7115,"9847 Garcia Squares Apt. 836, Beasleychester, MA 59942",Mass Market,2024-01-19,Active,"{""preferred_channel"": ""Branch"", ""language"": ""en"", ""marketing_opt_in"": false, ""risk_appetite"": ""low""}"
19,Roy,Hoffman,1982-06-30,roy.hoffman.19@hotmail.com,+1-480-894-0244x5502,"83667 Moore Inlet, Kimberlyshire, PA 11636",Mass Market,2023-11-22,Active,
20,Jerry,Hansen,1964-04-20,jerry.hansen.20@yahoo.com,,"97516 John Radial Suite 816, Juliebury, MA 22538",Affluent,2022-11-24,Active,"{""preferred_channel"": ""Mobile App"", ""language"": ""en"", ""marketing_opt_in"": true, ""risk_appetite"": ""high""}"
21,Marie,Jones,1998-05-18,marie.jones.21@hotmail.com,+1-986-479-8079x359,"USCGC Garcia, FPO AA 94127",Mass Market,2024-11-10,Active,"{""preferred_channel"": ""Mobile App"", ""language"": ""zh"", ""marketing_opt_in"": false, ""risk_appetite"": ""medium""}"
22,Stacey,Osborn,1946-07-29,stacey.osborn.22@hotmail.com,(385)605-4235x73322,"880 Walter River, New Nicholas, GA 24204",Affluent,2025-05-05,Active,
23,Shannon,Palmer,1946-06-15,,,"522 Justin Village, Hortonberg, WV 92977",Mass Market,2024-07-11,Active,"{""preferred_channel"": ""Phone"", ""language"": ""en"", ""marketing_opt_in"": false, ""risk_appetite"": ""high""}"
24,Carlos,Fox,2007-06-05,carlos.fox.24@hotmail.com,3677065405,"520 Payne Via, Port Kimberly, NH 91647",Affluent,2021-04-16,Active,"{""preferred_channel"": ""Branch"", ""language"": ""en"", ""marketing_opt_in"": true, ""risk_appetite"": ""low""}"
25,Michael,Salinas,1945-11-01,michael.salinas.25@yahoo.com,769-628-4511,"75705 Hill Turnpike Apt. 165, North Douglas, PA 89379",Mass Market,2018-11-19,Active,"{""preferred_channel"": ""Branch"", ""language"": ""es"", ""marketing_opt_in"": true, ""risk_appetite"": ""high""}"
26,Shannon,Roach,1946-03-10,shannon.roach.26@hotmail.com,451-588-4422x58313,,Affluent,2020-08-31,Active,"{""preferred_channel"": ""Mobile App"", ""language"": ""es"", ""marketing_opt_in"": true, ""risk_appetite"": ""medium""}"
27,Gary,David,1985-01-04,gary.david.27@hotmail.com,+1-259-900-1094x396,"473 Evans Cliffs Apt. 276, Marshallmouth, PA 19331",SME,2017-10-04,Churned,"{""preferred_channel"": ""Phone"", ""language"": ""es"", ""marketing_opt_in"": true, ""risk_appetite"": ""medium""}"
28,William,Levy,1964-03-19,william.levy.28@gmail.com,779-274-8016x2456,"8416 Duran Harbors, East Theresafurt, MN 44945",Student,2018-05-14,Active,"{""preferred_channel"": ""Email"", ""language"": ""es"", ""marketing_opt_in"": false, ""risk_appetite"": ""medium""}"
29,Krista,Parsons,1989-04-10,krista.parsons.29@hotmail.com,728.896.2309x1307,"8970 April Points, Whitneyfort, NC 49892",Mass Market,2021-12-29,Prospect,"{""preferred_channel"": ""Branch"", ""language"": ""es"", ""marketing_opt_in"": true, ""risk_appetite"": ""high""}"
30,Amanda,Fitzpatrick,1949-07-21,amanda.fitzpatrick.30@hotmail.com,001-393-430-8330x1657,"7734 Mitchell Circle, Lake Audreyside, WA 95281",Mass Market,2023-03-07,Active,"{""preferred_channel"": ""Branch"", ""language"": ""en"", ""marketing_opt_in"": true, ""risk_appetite"": ""medium""}"
31,Mark,Morales,2006-12-22,mark.morales.31@yahoo.com,730-546-3745x49904,"4268 Vaughn Route, Michaelbury, IN 18008",Mass Market,2017-03-03,Active,"{""preferred_channel"": ""Phone"", ""language"": ""es"", ""marketing_opt_in"": true, ""risk_appetite"": ""high""}"
32,Aaron,Robinson,,aaron.robinson.32@hotmail.com,480-817-0462,"6618 Desiree Keys Apt. 286, Lake Tiffany, MP 00956",Affluent,2016-12-11,Active,"{""preferred_channel"": ""Branch"", ""language"": ""zh"", ""marketing_opt_in"": true, ""risk_appetite"": ""low""}"
33,Loretta,Young,2007-03-31,loretta.young.33@hotmail.com,964.240.8926,"Unit 6856 Box 6246, DPO AE 99383",Affluent,2024-12-23,Active,"{""preferred_channel"": ""Email"", ""language"": ""es"", ""marketing_opt_in"": true, ""risk_appetite"": ""low""}"
34,Julie,Webster,1987-07-10,julie.webster.34@hotmail.com,763.685.4678,"1753 Edwards Cape Apt. 204, Phillipsborough, MA 30650",Student,2025-05-12,Active,"{""preferred_channel"": ""Mobile App"", ""language"": ""zh"", ""marketing_opt_in"": true, ""risk_appetite"": ""low""}"
35,Carlos,Hernandez,1971-03-24,carlos.hernandez.35@gmail.com,+1-697-670-0886x008,"11823 Christine Glen Suite 461, Susanmouth, OK 32378",Affluent,2018-05-27,Active,"{""preferred_channel"": ""Email"", ""language"": ""en"", ""marketing_opt_in"": false, ""risk_appetite"": ""medium""}"
36,Leonard,Ali,1991-05-16,leonard.ali.36@hotmail.com,(714)229-3968x5621,"59996 Johnson Groves, Henrystad, OH 49708",Mass Market,2022-02-01,Active,"{""preferred_channel"": ""Phone"", ""language"": ""es"", ""marketing_opt_in"": true, ""risk_appetite"": ""high""}"
37,Jenny,Hansen,1956-09-21,jenny.hansen.37@hotmail.com,(362)424-4472,"7154 Jennifer Park Apt. 712, Adamfurt, MA 81790",Mass Market,2026-02-22,Active,"{""preferred_channel"": ""Branch"", ""language"": ""es"", ""marketing_opt_in"": true, ""risk_appetite"": ""high""}"
38,Jason,Salinas,1944-12-02,jason.salinas.38@yahoo.com,+1-872-843-4266x17979,"891 Kayla Shoals Suite 290, Rasmussenmouth, WY 56921",Mass Market,2024-07-12,Prospect,"{""preferred_channel"": ""Email"", ""language"": ""zh"", ""marketing_opt_in"": false, ""risk_appetite"": ""high""}"
39,Jennifer,Johnson,,jennifer.johnson.39@gmail.com,001-438-828-2586x7362,,Affluent,2019-08-25,Active,"{""preferred_channel"": ""Branch"", ""language"": ""es"", ""marketing_opt_in"": false, ""risk_appetite"": ""high""}"
40,Sarah,Thompson,1959-11-10,sarah.thompson.40@gmail.com,979-805-0723x68876,"2190 Kelly Harbor Apt. 842, Cunninghamfort, OH 67453",Mass Market,2017-11-19,Active,
41,Candice,Jackson,1960-02-13,candice.jackson.41@hotmail.com,581-826-0422x325,,Mass Market,2026-01-03,Churned,"{""preferred_channel"": ""Phone"", ""language"": ""en"", ""marketing_opt_in"": false, ""risk_appetite"": ""high""}"
42,James,Barker,1984-06-01,james.barker.42@gmail.com,315-341-5206x436,"29387 Alan Junctions Apt. 627, East Patrickville, CT 41572",Affluent,2017-07-14,Active,"{""preferred_channel"": ""Branch"", ""language"": ""es"", ""marketing_opt_in"": false, ""risk_appetite"": ""medium""}"
43,Stephanie,Simpson,1974-03-11,stephanie.simpson.43@hotmail.com,780-455-2696,"91043 Sandra Turnpike, Hunterhaven, WI 54952",Mass Market,2017-05-05,Active,"{""preferred_channel"": ""Email"", ""language"": ""es"", ""marketing_opt_in"": false, ""risk_appetite"": ""low""}"
44,Morgan,Quinn,2001-05-30,morgan.quinn.44@yahoo.com,(448)714-9177x85079,"138 Bradley Wall, East Brandonstad, MS 20172",Affluent,2017-05-25,Active,"{""preferred_channel"": ""Email"", ""language"": ""zh"", ""marketing_opt_in"": true, ""risk_appetite"": ""high""}"
45,Kathleen,Sanchez,1968-02-07,kathleen.sanchez.45@gmail.com,+1-550-850-6413,"41038 Haynes Landing, Villegasland, OR 13028",Mass Market,2016-04-12,Dormant,"{""preferred_channel"": ""Phone"", ""language"": ""zh"", ""marketing_opt_in"": false, ""risk_appetite"": ""high""}"
46,Jason,Gates,1988-07-30,jason.gates.46@yahoo.com,(980)344-2067x8831,"00323 Watson Roads, New Brendaland, AK 08951",Mass Market,2017-09-12,Dormant,"{""preferred_channel"": ""Email"", ""language"": ""es"", ""marketing_opt_in"": true, ""risk_appetite"": ""medium""}"
47,Joshua,Taylor,2000-05-17,joshua.taylor.47@hotmail.com,780.865.7875,,Mass Market,2018-03-18,Active,"{""preferred_channel"": ""Email"", ""language"": ""es"", ""marketing_opt_in"": true, ""risk_appetite"": ""low""}"
48,Samantha,Richard,1941-09-16,samantha.richard.48@hotmail.com,001-721-485-1569x154,"Unit 6752 Box 8953, DPO AP 77695",Mass Market,2019-06-15,Active,"{""preferred_channel"": ""Phone"", ""language"": ""es"", ""marketing_opt_in"": true, ""risk_appetite"": ""medium""}"
49,Daniel,Smith,1990-01-13,daniel.smith.49@gmail.com,(676)258-6179x32710,"52621 Matthew Ridges, Bushchester, SD 22127",Affluent,2020-01-28,Active,"{""preferred_channel"": ""Branch"", ""language"": ""en"", ""marketing_opt_in"": true, ""risk_appetite"": ""medium""}"
50,Kristen,Ruiz,1958-03-28,kristen.ruiz.50@hotmail.com,+1-662-956-5270,"9021 Elizabeth Valley, Arellanoshire, IN 73062",Mass Market,2025-03-01,Active,"{""preferred_channel"": ""Branch"", ""language"": ""es"", ""marketing_opt_in"": true, ""risk_appetite"": ""low""}"
51,Stephen,Marks,1982-08-02,stephen.marks.51@hotmail.com,,"970 Joshua Divide Suite 065, North Julie, PW 35704",Mass Market,2024-01-31,Active,"{""preferred_channel"": ""Branch"", ""language"": ""en"", ""marketing_opt_in"": true, ""risk_appetite"": ""medium""}"
52,Kimberly,Warren,1952-01-13,kimberly.warren.52@gmail.com,9308705345,"035 Wheeler Fall, Matthewsstad, MI 21933",Affluent,2021-11-26,Active,"{""preferred_channel"": ""Branch"", ""language"": ""en"", ""marketing_opt_in"": true, ""risk_appetite"": ""medium""}"
53,Johnathan,Owens,1996-04-09,johnathan.owens.53@yahoo.com,001-610-385-8994,"5444 Edward Track Apt. 096, Erintown, SD 65692",Student,2022-12-27,Active,"{""preferred_channel"": ""Mobile App"", ""language"": ""zh"", ""marketing_opt_in"": false, ""risk_appetite"": ""low""}"
54,Cynthia,Carpenter,1972-04-30,cynthia.carpenter.54@gmail.com,,"75250 Shannon Fords, New Kathy, NM 12040",Mass Market,2022-06-04,Active,"{""preferred_channel"": ""Email"", ""language"": ""es"", ""marketing_opt_in"": true, ""risk_appetite"": ""medium""}"
55,Frederick,Meadows,1941-07-09,frederick.meadows.55@gmail.com,001-223-209-8215x0648,"16761 Wells Drives, Lake Gina, AL 39968",Mass Market,2024-05-03,Active,"{""preferred_channel"": ""Phone"", ""language"": ""en"", ""marketing_opt_in"": true, ""risk_appetite"": ""low""}"
56,Jennifer,Garcia,1955-12-09,jennifer.garcia.56@yahoo.com,270-212-0455x611,"5794 Nathan Junctions, North Richard, NH 36130",Affluent,2018-10-10,Churned,"{""preferred_channel"": ""Email"", ""language"": ""es"", ""marketing_opt_in"": true, ""risk_appetite"": ""low""}"
57,Jeffrey,Sosa,1975-07-08,jeffrey.sosa.57@hotmail.com,001-291-463-7562x890,"2175 Mark Harbors Apt. 838, Powellbury, CO 60675",SME,2024-12-12,Active,"{""preferred_channel"": ""Email"", ""language"": ""es"", ""marketing_opt_in"": true, ""risk_appetite"": ""high""}"
58,Christine,Kennedy,1988-11-25,,330-255-4885,"PSC 7261, Box 4933, APO AE 51998",SME,2022-10-15,Active,"{""preferred_channel"": ""Email"", ""language"": ""es"", ""marketing_opt_in"": false, ""risk_appetite"": ""medium""}"
59,Shawn,Anderson,1987-10-27,shawn.anderson.59@hotmail.com,748.358.3339x45228,,SME,2020-05-05,Active,"{""preferred_channel"": ""Email"", ""language"": ""es"", ""marketing_opt_in"": true, ""risk_appetite"": ""high""}"
60,Charles,Rivers,1948-05-02,charles.rivers.60@gmail.com,(748)242-2940x57202,"9851 Fox Ferry Apt. 826, Davisbury, FM 28465",Mass Market,2023-07-27,Active,"{""preferred_channel"": ""Mobile App"", ""language"": ""en"", ""marketing_opt_in"": false, ""risk_appetite"": ""high""}"
61,Kenneth,Pearson,1945-10-26,kenneth.pearson.61@gmail.com,(588)801-3361,"207 Johnson Cliffs, East Lauraside, CA 75862",Student,2019-06-03,Active,"{""preferred_channel"": ""Mobile App"", ""language"": ""zh"", ""marketing_opt_in"": false, ""risk_appetite"": ""medium""}"
62,Amanda,Taylor,1994-06-13,amanda.taylor.62@hotmail.com,824-350-8821x0099,"68222 Christina Glen Apt. 129, Port Karenside, NH 84999",Mass Market,2020-02-16,Active,"{""preferred_channel"": ""Branch"", ""language"": ""en"", ""marketing_opt_in"": true, ""risk_appetite"": ""medium""}"
63,Andrea,Thompson,1997-06-17,andrea.thompson.63@gmail.com,+1-834-511-0809,"PSC 8488, Box 7256, APO AE 77781",Mass Market,2022-04-14,Active,"{""preferred_channel"": ""Phone"", ""language"": ""zh"", ""marketing_opt_in"": false, ""risk_appetite"": ""medium""}"
64,Jim,Barnett,1994-01-14,jim.barnett.64@yahoo.com,870.805.1844x9892,"463 Gomez Ways, Tommyfort, FM 79696",Mass Market,2021-05-24,Active,"{""preferred_channel"": ""Email"", ""language"": ""zh"", ""marketing_opt_in"": false, ""risk_appetite"": ""medium""}"
65,Tanya,Walsh,1989-09-20,tanya.walsh.65@yahoo.com,437-497-7236,"57991 Nicholas Curve Apt. 038, Serranoville, HI 62874",Affluent,2025-01-01,Prospect,"{""preferred_channel"": ""Email"", ""language"": ""en"", ""marketing_opt_in"": true, ""risk_appetite"": ""medium""}"
66,Alexandra,Meyer,1954-03-09,alexandra.meyer.66@yahoo.com,(851)526-9448x69594,"58874 Lane Trail Suite 213, Loganburgh, CT 28610",Affluent,2019-12-19,Active,"{""preferred_channel"": ""Phone"", ""language"": ""zh"", ""marketing_opt_in"": false, ""risk_appetite"": ""medium""}"
67,Kristen,Dixon,1982-01-19,kristen.dixon.67@hotmail.com,8538021465,"118 Barber Points, Michaelview, IN 79978",Student,2023-03-15,Churned,"{""preferred_channel"": ""Mobile App"", ""language"": ""es"", ""marketing_opt_in"": false, ""risk_appetite"": ""high""}"
68,Cynthia,Gamble,1955-11-08,cynthia.gamble.68@yahoo.com,,"37333 Clark Flats Apt. 952, North Samanthafort, RI 01369",Mass Market,2022-12-26,Active,"{""preferred_channel"": ""Branch"", ""language"": ""en"", ""marketing_opt_in"": true, ""risk_appetite"": ""high""}"
69,Craig,Ward,1952-12-11,craig.ward.69@yahoo.com,547.895.5276,"6472 Tiffany Spur Apt. 143, Chaseborough, FL 97303",Mass Market,2024-11-01,Active,"{""preferred_channel"": ""Phone"", ""language"": ""es"", ""marketing_opt_in"": true, ""risk_appetite"": ""low""}"
70,Greg,Deleon,1985-12-30,greg.deleon.70@yahoo.com,001-371-369-4722x56996,"5449 Nelson Mills, Juliehaven, NV 54763",Mass Market,2019-10-08,Churned,
71,Theresa,Fernandez,1970-06-20,theresa.fernandez.71@hotmail.com,+1-629-797-9688,"74564 Kevin Alley, West Justin, ND 01591",SME,2018-12-10,Active,"{""preferred_channel"": ""Mobile App"", ""language"": ""zh"", ""marketing_opt_in"": false, ""risk_appetite"": ""high""}"
72,Stanley,Chavez,,stanley.chavez.72@yahoo.com,,"20735 Collins Union, Boltonmouth, UT 04660",Mass Market,2023-03-22,Active,"{""preferred_channel"": ""Branch"", ""language"": ""zh"", ""marketing_opt_in"": true, ""risk_appetite"": ""high""}"
73,Elizabeth,Mcpherson,1969-09-28,elizabeth.mcpherson.73@gmail.com,(949)416-3009,"27195 Brian Rue, Lake Amanda, CT 16993",Mass Market,2018-07-29,Active,"{""preferred_channel"": ""Branch"", ""language"": ""en"", ""marketing_opt_in"": false, ""risk_appetite"": ""medium""}"
74,Christine,Diaz,1962-01-10,christine.diaz.74@gmail.com,+1-386-338-7829x45651,"03173 Anthony Row, Barretthaven, RI 92423",Mass Market,2022-06-02,Active,"{""preferred_channel"": ""Mobile App"", ""language"": ""en"", ""marketing_opt_in"": false, ""risk_appetite"": ""low""}"
75,Julie,Miranda,1986-01-31,julie.miranda.75@hotmail.com,+1-761-722-8685x28975,"659 Anna Forest Suite 845, Westfurt, AL 95700",Mass Market,2021-12-25,Active,
76,Rachel,Warner,1946-09-14,rachel.warner.76@hotmail.com,209-861-0556x6139,,SME,2024-05-30,Active,"{""preferred_channel"": ""Branch"", ""language"": ""zh"", ""marketing_opt_in"": true, ""risk_appetite"": ""medium""}"
77,Diana,Carrillo,1963-12-31,diana.carrillo.77@yahoo.com,+1-427-603-3521x103,"7705 Jody Forest, New Alexandra, KS 72433",Mass Market,2017-11-28,Active,"{""preferred_channel"": ""Branch"", ""language"": ""es"", ""marketing_opt_in"": true, ""risk_appetite"": ""high""}"
78,Ann,Marquez,2002-12-07,ann.marquez.78@yahoo.com,876-220-5554x38404,"USNV Perez, FPO AA 51992",SME,2016-08-12,Active,
79,Jessica,Cannon,1968-05-16,,574-523-1220x9949,"1728 Joseph Landing, Port Paul, NJ 18525",Mass Market,2025-01-07,Churned,
80,Sydney,Lee,2000-05-10,,326.449.0827x718,"6570 Shawn Station, South Christopher, MD 91165",SME,2020-08-11,Active,"{""preferred_channel"": ""Branch"", ""language"": ""en"", ""marketing_opt_in"": true, ""risk_appetite"": ""low""}"
81,Melissa,Stephens,2000-03-29,melissa.stephens.81@gmail.com,,"830 Eddie Shoal Suite 020, Markland, AR 14773",Mass Market,2016-04-10,Prospect,"{""preferred_channel"": ""Branch"", ""language"": ""en"", ""marketing_opt_in"": true, ""risk_appetite"": ""low""}"
82,Vanessa,Webb,2003-09-22,vanessa.webb.82@hotmail.com,969-954-8995x2997,"430 Andrew Road, Lake Melaniechester, MT 06463",SME,2023-02-07,Active,"{""preferred_channel"": ""Mobile App"", ""language"": ""es"", ""marketing_opt_in"": true, ""risk_appetite"": ""high""}"
83,Kristen,Gutierrez,1997-01-02,kristen.gutierrez.83@yahoo.com,001-358-480-3955,"6829 Lopez Crescent, Janetmouth, VT 04646",SME,2023-08-23,Active,"{""preferred_channel"": ""Mobile App"", ""language"": ""es"", ""marketing_opt_in"": false, ""risk_appetite"": ""medium""}"
84,Michelle,Wilson,1943-03-19,michelle.wilson.84@hotmail.com,657-501-8409,"4857 Joseph Estate, Dannyside, NY 13919",Mass Market,2019-04-30,Active,"{""preferred_channel"": ""Email"", ""language"": ""en"", ""marketing_opt_in"": false, ""risk_appetite"": ""low""}"
85,Lisa,Miller,1992-03-14,lisa.miller.85@hotmail.com,(517)417-4773,"6255 Freeman Circles Suite 157, Singletonport, WI 46194",Mass Market,2025-06-11,Dormant,"{""preferred_channel"": ""Email"", ""language"": ""es"", ""marketing_opt_in"": false, ""risk_appetite"": ""medium""}"
86,Chad,Rodriguez,1992-09-01,chad.rodriguez.86@yahoo.com,970-513-2902x27846,"9465 Brandi Ridge Suite 240, Rachelton, AL 92691",Mass Market,2024-05-10,Active,"{""preferred_channel"": ""Phone"", ""language"": ""en"", ""marketing_opt_in"": true, ""risk_appetite"": ""high""}"
87,Kristina,Munoz,1952-06-11,kristina.munoz.87@hotmail.com,(687)865-3269x09738,"PSC 9500, Box 9751, APO AP 63616",Affluent,2020-06-22,Active,"{""preferred_channel"": ""Branch"", ""language"": ""en"", ""marketing_opt_in"": false, ""risk_appetite"": ""low""}"
88,Jo,Johnson,,jo.johnson.88@gmail.com,442-994-4401x929,"3728 Matthew Corner, New Sarah, FL 65505",Student,2021-01-23,Dormant,"{""preferred_channel"": ""Mobile App"", ""language"": ""zh"", ""marketing_opt_in"": false, ""risk_appetite"": ""high""}"
89,Samantha,Walsh,1969-07-31,samantha.walsh.89@hotmail.com,754-441-4967x393,"010 Davis Cove, Bellport, KS 25808",Mass Market,2025-10-11,Active,"{""preferred_channel"": ""Mobile App"", ""language"": ""en"", ""marketing_opt_in"": false, ""risk_appetite"": ""low""}"
90,Stephanie,Baker,1973-08-27,stephanie.baker.90@gmail.com,+1-662-371-2863x917,"470 Hernandez Route, North Elizabethview, FL 92258",SME,2020-08-15,Active,"{""preferred_channel"": ""Mobile App"", ""language"": ""en"", ""marketing_opt_in"": true, ""risk_appetite"": ""high""}"
91,Anthony,Davies,1966-08-27,anthony.davies.91@hotmail.com,,"USNS Figueroa, FPO AE 09942",SME,2018-08-08,Active,"{""preferred_channel"": ""Email"", ""language"": ""en"", ""marketing_opt_in"": true, ""risk_appetite"": ""high""}"
92,Jason,Williams,1944-07-08,jason.williams.92@yahoo.com,(262)458-2739,"07100 Sara Squares Suite 672, East Danielle, NC 59538",Student,2017-12-13,Dormant,"{""preferred_channel"": ""Phone"", ""language"": ""es"", ""marketing_opt_in"": true, ""risk_appetite"": ""low""}"
93,Justin,Hamilton,1994-12-20,justin.hamilton.93@yahoo.com,3103822078,"PSC 7995, Box 6353, APO AE 43247",Affluent,2019-07-24,Active,"{""preferred_channel"": ""Email"", ""language"": ""en"", ""marketing_opt_in"": false, ""risk_appetite"": ""high""}"
94,Jeffrey,Phillips,1994-04-01,jeffrey.phillips.94@hotmail.com,,"335 Riley Ramp Apt. 906, North Vickiehaven, AZ 56298",Student,2017-10-13,Active,"{""preferred_channel"": ""Phone"", ""language"": ""en"", ""marketing_opt_in"": true, ""risk_appetite"": ""low""}"
95,Joseph,Shah,1994-03-30,joseph.shah.95@hotmail.com,795-908-5016,"2818 Devon Isle Apt. 817, Port Julie, IN 42504",Mass Market,2021-08-22,Active,"{""preferred_channel"": ""Mobile App"", ""language"": ""zh"", ""marketing_opt_in"": true, ""risk_appetite"": ""medium""}"
96,Amber,Anderson,1970-05-27,amber.anderson.96@hotmail.com,7437103856,"4924 Kristina Forks Suite 540, West Justin, GA 81586",Affluent,2019-09-07,Dormant,"{""preferred_channel"": ""Mobile App"", ""language"": ""en"", ""marketing_opt_in"": false, ""risk_appetite"": ""high""}"
97,Stephen,Flores,,stephen.flores.97@hotmail.com,,"5150 Brandy Forges, Jamesland, ND 58888",Mass Market,2016-04-04,Active,"{""preferred_channel"": ""Phone"", ""language"": ""es"", ""marketing_opt_in"": true, ""risk_appetite"": ""medium""}"
98,Sarah,Garza,,sarah.garza.98@hotmail.com,962-287-9232x648,"478 Walker Turnpike Apt. 244, Martinezport, MT 24011",Student,2019-12-22,Active,"{""preferred_channel"": ""Email"", ""language"": ""es"", ""marketing_opt_in"": true, ""risk_appetite"": ""high""}"
99,James,Burton,,james.burton.99@gmail.com,+1-755-444-5189,"7652 Jeffery Parkway Apt. 389, South Stevenland, DE 17701",Mass Market,2023-11-12,Dormant,"{""preferred_channel"": ""Phone"", ""language"": ""zh"", ""marketing_opt_in"": true, ""risk_appetite"": ""high""}"
100,Karen,Patton,1954-03-09,karen.patton.100@gmail.com,(450)512-4955,"90833 Jackson Throughway, Lake Coreyborough, PW 66586",Mass Market,2025-06-02,Active,"{""preferred_channel"": ""Phone"", ""language"": ""zh"", ""marketing_opt_in"": true, ""risk_appetite"": ""high""}"
101,Patricia,Lang,1965-03-16,patricia.lang.101@gmail.com,+1-371-767-8112x66912,"Unit 5396 Box 1367, DPO AA 94020",Affluent,2025-08-10,Active,"{""preferred_channel"": ""Phone"", ""language"": ""es"", ""marketing_opt_in"": false, ""risk_appetite"": ""high""}"
